"Shaun the Sheep: Adventures from Mossy Bottom: Season 1","7.700.000","Shaun the Sheep: Adventures from Mossy Bottom: Season 1","7.400.000","null","null","null","null"
"Loudermilk: Season 2","7.600.000","null","null","null","null","null","null"
"Demon Slayer: Kimetsu no Yaiba: Entertainment District Arc // 鬼滅の刃: 遊郭編","7.600.000","Demon Slayer: Kimetsu no Yaiba: Entertainment District Arc // 鬼滅の刃: 遊郭編","9.000.000","null","null","null","null"
"Warrior (2019): Season 3","7.500.000","null","null","null","null","null","null"
"Money Heist: Part 2 // La casa de papel: Parte 2","7.500.000","Money Heist: Part 2 // La casa de papel: Parte 2","5.700.000","null","null","null","null"
"Peaky Blinders: Season 2","7.500.000","Peaky Blinders: Season 2","8.800.000","null","null","null","null"
"Regular Show: Season 1","7.500.000","null","null","null","null","null","null"
"Suits (2011): Season 7","7.400.000","Suits (2011): Season 7","13.800.000","null","null","null","null"
"The Walking Dead: Season 1","7.400.000","The Walking Dead: Season 1","7.300.000","null","null","null","null"
"Selling The OC: Season 3","7.400.000","null","null","null","null","null","null"
"Ginny & Georgia: Season 1","7.300.000","Ginny & Georgia: Season 1","7.100.000","null","null","null","null"
"Sweet Tooth: Season 2","7.300.000","Sweet Tooth: Season 2","3.800.000","null","null","null","null"
"Life on Our Planet: Season 1","7.300.000","Life on Our Planet: Season 1","18.900.000","null","null","null","null"
"AlRawabi School for Girls: Season 2 // مدرسة الروابي للبنات: موسم 2","7.300.000","null","null","null","null","null","null"
"Gabby's Dollhouse: Season 4","7.300.000","Gabby's Dollhouse: Season 4","8.200.000","null","null","null","null"
"Breaking Bad: Season 3","7.200.000","Breaking Bad: Season 3","6.900.000","null","null","null","null"
"SPY x FAMILY: Season 1 // SPY×FAMILY: シーズン1","7.200.000","SPY x FAMILY: Season 1 // SPY×FAMILY: シーズン1","1.600.000","null","null","null","null"
"Money Heist: Part 3 // La casa de papel: Parte 3","7.200.000","Money Heist: Part 3 // La casa de papel: Parte 3","5.500.000","null","null","null","null"
"Blood & Water: Season 4","7.200.000","null","null","null","null","null","null"
"Victorious: Season 3","7.100.000","Victorious: Season 3","3.100.000","null","null","null","null"
"Heartbreak High: Season 1","7.100.000","Heartbreak High: Season 1","1.800.000","null","null","null","null"
"Maamla Legal Hai: Season 1 // मामला लीगल है: सीज़न 1","7.100.000","null","null","null","null","null","null"
"Deliver Me: Limited Series // I dina händer: Miniserie","7.100.000","null","null","null","null","null","null"
"Our Living World: Limited Series","7.100.000","null","null","null","null","null","null"
"Kevin Hart: The Kennedy Center Mark Twain Prize for American Humor","7.100.000","null","null","null","null","null","null"
"Lucifer: Season 1","7.000.000","Lucifer: Season 1","7.600.000","null","null","null","null"
"The Creature Cases: Chapter 1","7.000.000","The Creature Cases: Chapter 1","5.800.000","null","null","null","null"
"XO","5:05","XO","5:05","null","null","null","null"
"I Woke Up A Vampire: Season 1","7.000.000","I Woke Up A Vampire: Season 1","10.700.000","null","null","null","null"
"The Indrani Mukerjea Story: Buried Truth: Season 1","7.000.000","null","null","null","null","null","null"
"Booba: Season 2 (Part 1)","7.000.000","Booba: Season 2 (Part 1)","6.800.000","null","null","null","null"
"Turning Point: The Bomb and the Cold War: Season 1","6.900.000","null","null","null","null","null","null"
"Jurassic World Camp Cretaceous: Season 2","6.900.000","Jurassic World Camp Cretaceous: Season 2","5.500.000","null","null","null","null"
"Totoy Kids - Hungry Hungry José // José Comilão 1","6.900.000","Totoy Kids - Hungry Hungry José // José Comilão 1","7.100.000","null","null","null","null"
"House","17:35","null","null","null","null","null","null"
"Mighty Bheem's Playtime: Season 1","6.800.000","null","null","null","null","null","null"
"Cooking Up Murder: Uncovering the Story of César Román: Limited Series // El Rey del Cachopo: Miniserie","6.800.000","null","null","null","null","null","null"
"Gabby's Dollhouse: Season 5","6.800.000","Gabby's Dollhouse: Season 5","7.600.000","null","null","null","null"
"Jujutsu Kaisen: Season 1 // 呪術廻戦: 第1期","6.700.000","Jujutsu Kaisen: Season 1 // 呪術廻戦: 第1期","2.900.000","null","null","null","null"
"Outer Banks: Season 2","6.700.000","Outer Banks: Season 2","4.300.000","null","null","null","null"
"BEEF: Season 1","6.700.000","BEEF: Season 1","6.000.000","null","null","null","null"
"Killing Eve: Season 1","6.700.000","Killing Eve: Season 1","800.000","null","null","null","null"
"Sonic Prime: Season 2","6.700.000","Sonic Prime: Season 2","12.100.000","null","null","null","null"
"Suits (2011): Season 8","6.600.000","Suits (2011): Season 8","12.000.000","null","null","null","null"
"Breaking Bad: Season 4","6.600.000","Breaking Bad: Season 4","6.400.000","null","null","null","null"
"Wrong Side of the Tracks: Season 2 // Entrevías: Temporada 2","6.600.000","Wrong Side of the Tracks: Season 2 // Entrevías: Temporada 2","2.500.000","null","null","null","null"
"The Trust: Season 1","6.600.000","null","null","null","null","null","null"
"Lupin: Part 3","6.600.000","Lupin: Part 3","49.700.000","null","null","null","null"
"Demon Slayer: Kimetsu no Yaiba: Mugen Train Arc // 鬼滅の刃: 無限列車編","6.600.000","Demon Slayer: Kimetsu no Yaiba: Mugen Train Arc // 鬼滅の刃: 無限列車編","8.500.000","null","null","null","null"
"Gabby's Dollhouse: Season 6","6.600.000","Gabby's Dollhouse: Season 6","7.600.000","null","null","null","null"
"Booba: Season 2 (Part 2)","6.500.000","Booba: Season 2 (Part 2)","6.500.000","null","null","null","null"
"Captivating the King: Limited Series // 세작","19:05","null","null","null","null","null","null"
"Sam & Cat: Season 1","6.400.000","Sam & Cat: Season 1","5.600.000","null","null","null","null"
"All of Us Are Dead: Season 1 // 지금 우리 학교는: 시즌 1","6.400.000","All of Us Are Dead: Season 1 // 지금 우리 학교는: 시즌 1","5.700.000","null","null","null","null"
"Monk: Season 2","6.400.000","null","null","null","null","null","null"
"Ginny & Georgia: Season 2","6.400.000","Ginny & Georgia: Season 2","6.800.000","null","null","null","null"
"Outer Banks: Season 3","6.400.000","Outer Banks: Season 3","4.800.000","null","null","null","null"
"Supacell: Season 1","6.400.000","null","null","null","null","null","null"
"The Legend of Korra: Book One: Air","6.400.000","The Legend of Korra: Book One: Air","2.400.000","null","null","null","null"
"Morphle: Season 1","6.400.000","Morphle: Season 1","7.700.000","null","null","null","null"
"Money Heist: Part 5 // La casa de papel: Parte 5","6.300.000","Money Heist: Part 5 // La casa de papel: Parte 5","4.900.000","null","null","null","null"
"Money Heist: Part 4 // La casa de papel: Parte 4","6.300.000","Money Heist: Part 4 // La casa de papel: Parte 4","4.700.000","null","null","null","null"
"Kübra: Season 1","6.300.000","null","null","null","null","null","null"
"The Tourist: Season 2","6.300.000","null","null","null","null","null","null"
"The Empress: Season 1 // Die Kaiserin: Staffel 1","6.300.000","The Empress: Season 1 // Die Kaiserin: Staffel 1","5.000.000","null","null","null","null"
"Cobra Kai: Season 1","6.300.000","Cobra Kai: Season 1","6.900.000","null","null","null","null"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado","10:16","Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado","10:16","null","null","null","null"
"The Smurfs (2021): Season 1","6.200.000","The Smurfs (2021): Season 1","8.800.000","null","null","null","null"
"Sex and the City: Season 2","6.200.000","null","null","null","null","null","null"
"Peaky Blinders: Season 3","6.200.000","Peaky Blinders: Season 3","7.100.000","null","null","null","null"
"Loudermilk: Season 3","6.200.000","null","null","null","null","null","null"
"Gabby's Dollhouse: Season 7","6.200.000","Gabby's Dollhouse: Season 7","11.100.000","null","null","null","null"
"Your Honor (2020): Season 2","6.100.000","null","null","null","null","null","null"
"Lupin: Part 1","6.100.000","Lupin: Part 1","22.600.000","null","null","null","null"
"Pokémon Concierge: Season 1 // ポケモンコンシェルジュ: シーズン1","6.100.000","Pokémon Concierge: Season 1 // ポケモンコンシェルジュ: シーズン1","2.600.000","null","null","null","null"
"Shane Gillis: Beautiful Dogs","6.100.000","Shane Gillis: Beautiful Dogs","12.000.000","null","null","null","null"
"Breaking Bad: Season 5","6.000.000","Breaking Bad: Season 5","5.800.000","null","null","null","null"
"Bloodhounds: Season 1 // 사냥개들: 시즌 1","6.000.000","Bloodhounds: Season 1 // 사냥개들: 시즌 1","12.000.000","null","null","null","null"
"AMERICA'S SWEETHEARTS: Dallas Cowboys Cheerleaders: Season 1","6.000.000","null","null","null","null","null","null"
"The Queen's Gambit: Limited Series","6.000.000","The Queen's Gambit: Limited Series","5.600.000","null","null","null","null"
"Bodyguard: Season 1","6.000.000","Bodyguard: Season 1","6.600.000","null","null","null","null"
"Young Royals: Season 3","6.000.000","null","null","null","null","null","null"
"Jurassic World Camp Cretaceous: Season 3","6.000.000","Jurassic World Camp Cretaceous: Season 3","4.800.000","null","null","null","null"
"The Blacklist: Season 10","5.900.000","The Blacklist: Season 10","4.700.000","null","null","null","null"
